                                                                                                                                                      List of domains
 Schema |               Name               |              Type              | Collation | Nullable | Default |                                                                                                    Check                                                                                                     
--------+----------------------------------+--------------------------------+-----------+----------+---------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public | anonym_status_d                  | i32_d                          |           |          |         | CHECK (VALUE::integer = ANY (ARRAY[65535, 2097151]))
 public | answered_status_d                | i16_gz_lt128_d                 |           |          |         | 
 public | api_version_d                    | text_nonempty_ste60_d          |           |          |         | CHECK (VALUE::text = '0.0.1'::text)
 public | base64us_inf_d                   | text_nonempty_inf_d            |           |          |         | CHECK (VALUE::text ~ '^[a-zA-Z0-9_=-]*$'::text)
 public | base64us_len16_d                 | base64us_inf_d                 |           |          |         | CHECK (length(VALUE::text) = 16)
 public | browser_id_d                     | text                           |           |          |         | CHECK (VALUE ~ '^[a-zA-Z0-9._=-]*$'::text) CHECK (length(VALUE) >= 14) CHECK (length(VALUE) <= 60)
 public | bytea_len28_d                    | bytea                          |           |          |         | CHECK (length(VALUE) = 28)
 public | bytea_len32_d                    | bytea                          |           |          |         | CHECK (length(VALUE) = 32)
 public | bytea_len48_d                    | bytea                          |           |          |         | CHECK (length(VALUE) = 48)
 public | bytea_len64_d                    | bytea                          |           |          |         | CHECK (length(VALUE) = 64)
 public | can_see_who_d                    | i16_d                          |           |          |         | CHECK (VALUE IS NULL OR VALUE::smallint >= 1 AND VALUE::smallint <= 4)
 public | cat_id_d                         | i32_lt2e9_gz_d                 |           |          |         | 
 public | closed_status_d                  | i16_gz_lt128_d                 |           |          |         | 
 public | collapsed_status_d               | i16_gz_lt128_d                 |           |          |         | 
 public | color_d                          | text                           |           |          |         | CHECK (VALUE ~ '^#[a-f0-9]{3}([a-f0-9]{3})?$'::text)
 public | comt_order_d                     | i32_nz_d                       |           |          |         | CHECK (VALUE::integer = ANY (ARRAY[1, 2, 3, 18, 50]))
 public | creator_status_d                 | i16_gz_lt1024_d                |           |          |         | 
 public | deleted_status_d                 | i16_gz_lt128_d                 |           |          |         | 
 public | do_vote_style_d                  | i16_gez_d                      |           |          |         | CHECK (VALUE::smallint <= 5)
 public | doing_status_d                   | i16_gz_lt128_d                 |           |          |         | 
 public | dormant_status_d                 | i32_gz_d                       |           |          |         | 
 public | email_d                          | text                           |           |          |         | CHECK (lower(VALUE) = VALUE) CHECK (length(VALUE) < 200) CHECK (length(VALUE) >= 5) CHECK (email_seems_ok(VALUE::character varying))
 public | email_name_d                     | text_oneline_60_d              |           |          |         | CHECK (VALUE::text !~ '[!"#$%&();<=>?@[\]^`{|}]|//|https?:|script:'::text)
 public | event_id_d                       | i64_lt2e9_gz_d                 |           |          |         | 
 public | event_type_d                     | i16_gz_d                       |           |          |         | 
 public | f32_d                            | real                           |           |          |         | 
 public | f32_gez_d                        | real                           |           |          |         | CHECK (VALUE >= 0::double precision)
 public | f32_gz_d                         | real                           |           |          |         | CHECK (VALUE > 0::double precision)
 public | f64_d                            | double precision               |           |          |         | 
 public | f64_gez_d                        | double precision               |           |          |         | CHECK (VALUE >= 0::double precision)
 public | f64_gz_d                         | double precision               |           |          |         | CHECK (VALUE > 0::double precision)
 public | flagged_status_d                 | i16_gz_lt128_d                 |           |          |         | 
 public | hidden_status_d                  | i16_gz_lt128_d                 |           |          |         | 
 public | html_class_suffix_30_d           | text_nonempty_ste30_d          |           |          |         | CHECK (VALUE::text ~ '^[a-zA-Z0-9_-]*$'::text)
